timestamp,cell_name,scenario_title,cell_execution_seconds,orders_count,routes_count,depots_count,extra_json
2026-04-10T21:42:17,base_scenario_cell,BASE SCENARIO,34.20997,90,15,1,{}
2026-04-10T21:42:45,eas1_scenario_cell,EAS 1 - JOB START VARIANCE,27.900335,90,15,1,{}
2026-04-10T21:43:14,eas2_scenario_cell,EAS 2 - JOB FINISH VARIANCE,28.67832,90,15,1,{}
2026-04-10T21:43:48,eas3_scenario_cell,EAS 3 - SKIPPED JOB,33.154698,90,15,1,{}
2026-04-10T21:44:22,eas4_scenario_cell,EAS 4 - DOWNSTREAM REOPTIMIZATION,34.029643,90,15,1,{}
2026-04-10T21:44:56,rt1_scenario_cell,RT 1 - NEW URGENT ACTIVITY,33.599585,91,15,1,{}
2026-04-10T21:45:28,rt2_scenario_cell,RT 2 - CANCELLATION,31.825145,89,15,1,{}
2026-04-10T21:45:59,rt3_scenario_cell,RT 3 - DURATION CHANGE,30.250802,90,15,1,{}
2026-04-10T21:46:33,rt4_scenario_cell,RT 4 - SHIFT CHANGE,33.60888,90,15,1,{}
2026-04-10T21:47:04,rt5_scenario_cell,RT 5 - LOCATION HOURS CHANGE,30.494081,90,15,1,{}
2026-04-10T21:47:33,rt6_scenario_cell,RT 6 - TECH SICK,28.664582,90,14,1,{}
2026-04-10T21:48:01,rt7_scenario_cell,RT 7 - COMBINED REAL-TIME FLOW,28.17925,90,15,1,{}
2026-04-10T21:48:29,gb1_scenario_cell,GB 1 - MINIMIZE TRAVEL TIME,27.370214,90,15,1,{}
2026-04-10T21:48:56,gb2_scenario_cell,GB 2 - PREFER HIGHER-RATED TECHNICIANS,26.507444,90,15,1,{}
2026-04-10T21:49:28,gb3_scenario_cell,GB 3 - PREFER SPECIALIZED TECHNICIANS,31.765749,90,15,1,{}
2026-04-10T21:50:04,gb4_scenario_cell,GB 4 - MAXIMIZE SLA ADHERENCE,36.012666,90,15,1,{}
2026-04-10T21:50:40,gb5_scenario_cell,GB 5 - REDUCE OVERTIME,34.908697,90,15,1,{}
2026-04-10T21:51:22,gb6_scenario_cell,GB 6 - CUSTOMER WEIGHTED OPTIMUM,42.39448,90,15,1,{}
